Date,Comment,Sentiment,Platform,Username,Engagement_Count
2025-01-03,"Fasilitas lengkap, ada colokan di setiap meja dan Wi-Fi cukup kencang untuk meeting online.",Positif,TikTok,user_retail_674,113
2025-01-03,Tempatnya lumayan tapi ya biasa saja sih gak yang wah banget.,Netral,TikTok,user_retail_838,6
2025-01-03,Fasilitas dan kelengkapan produk dinilai standar seperti jaringan retail minimarket pada umumnya.,Netral,X,user_retail_317,13
2025-01-03,"Metode pembayaran menggunakan aplikasi MyPertamina praktis banget, banyak promo cashback.",Positif,X,user_retail_306,27
2025-01-03,"Fasilitas lengkap, ada colokan di setiap meja dan Wi-Fi cukup kencang untuk meeting online.",Positif,YouTube,user_retail_833,7
2025-01-03,Tempatnya lumayan tapi ya biasa saja sih gak yang wah banget.,Netral,X,user_retail_135,143
2025-01-03,Tempatnya lumayan tapi ya biasa saja sih gak yang wah banget.,Netral,Instagram,user_retail_895,132
2025-01-04,"Bright Cafe kopinya enak banget, rasanya konsisten dan bersaing dengan coffee shop premium.",Positif,YouTube,user_retail_180,15
2025-01-04,AC di area indoor kurang dingin pas kapasitas pengunjung lagi padat-padatnya.,Negatif,Instagram,user_retail_954,91
2025-01-04,"Suka banget sama menu promo bundling kopi dan roti di pagi hari, sangat ramah di kantong.",Positif,Instagram,user_retail_906,34
2025-01-04,Tempatnya lumayan tapi ya biasa saja sih gak yang wah banget.,Netral,X,user_retail_866,81
2025-01-04,Harga beberapa item produk ritel di Bright Store terasa agak kemahalan dibanding minimarket biasa.,Negatif,Instagram,user_retail_229,199
2025-01-04,"Bright Cafe kopinya enak banget, rasanya konsisten dan bersaing dengan coffee shop premium.",Positif,YouTube,user_retail_212,3
2025-01-04,Pelayanan ramah dan tempatnya strategis banget di dalam SPBU.,Positif,YouTube,user_retail_346,55
2025-01-04,"Metode pembayaran menggunakan aplikasi MyPertamina praktis banget, banyak promo cashback.",Positif,X,user_retail_417,12
2025-01-04,"Suka banget sama menu promo bundling kopi dan roti di pagi hari, sangat ramah di kantong.",Positif,X,user_retail_844,18
2025-01-04,Pelayanan ramah dan tempatnya strategis banget di dalam SPBU.,Positif,X,user_retail_484,12
2025-01-04,Harga beberapa item produk ritel di Bright Store terasa agak kemahalan dibanding minimarket biasa.,Negatif,YouTube,user_retail_605,42
2025-01-04,"Suka banget sama menu promo bundling kopi dan roti di pagi hari, sangat ramah di kantong.",Positif,YouTube,user_retail_719,10
2025-01-04,"Suka banget sama menu promo bundling kopi dan roti di pagi hari, sangat ramah di kantong.",Positif,YouTube,user_retail_926,19
2025-01-05,"Proses restock barang lambat, beberapa rak item promo terlihat kosong melompong.",Negatif,YouTube,user_retail_108,91
2025-01-05,"Bright Cafe kopinya enak banget, rasanya konsisten dan bersaing dengan coffee shop premium.",Positif,Instagram,user_retail_996,4
2025-01-05,Kebetulan mampir cuma buat beli air mineral pas isi bensin.,Netral,TikTok,user_retail_514,104
2025-01-05,Kebetulan mampir cuma buat beli air mineral pas isi bensin.,Netral,YouTube,user_retail_740,56
2025-01-05,"Suka banget sama menu promo bundling kopi dan roti di pagi hari, sangat ramah di kantong.",Positif,YouTube,user_retail_445,201
2025-01-05,Tempatnya lumayan tapi ya biasa saja sih gak yang wah banget.,Netral,YouTube,user_retail_502,62
2025-01-05,"Metode pembayaran menggunakan aplikasi MyPertamina praktis banget, banyak promo cashback.",Positif,Instagram,user_retail_563,2
2025-01-05,Tempatnya lumayan tapi ya biasa saja sih gak yang wah banget.,Netral,TikTok,user_retail_851,80
2025-01-05,AC di area indoor kurang dingin pas kapasitas pengunjung lagi padat-padatnya.,Negatif,YouTube,user_retail_810,57
2025-01-06,Tempatnya lumayan tapi ya biasa saja sih gak yang wah banget.,Netral,YouTube,user_retail_251,25
2025-01-06,AC di area indoor kurang dingin pas kapasitas pengunjung lagi padat-padatnya.,Negatif,TikTok,user_retail_724,54
2025-01-06,AC di area indoor kurang dingin pas kapasitas pengunjung lagi padat-padatnya.,Negatif,Instagram,user_retail_326,126
2025-01-06,"Pelayanan petugas kasir di outlet SPBU MT Haryono lambat banget, antrean cenderung mengular.",Negatif,X,user_retail_995,101
2025-01-06,"Metode pembayaran menggunakan aplikasi MyPertamina praktis banget, banyak promo cashback.",Positif,YouTube,user_retail_780,9
2025-01-06,Pelayanan ramah dan tempatnya strategis banget di dalam SPBU.,Positif,X,user_retail_915,68
2025-01-06,Tempatnya lumayan tapi ya biasa saja sih gak yang wah banget.,Netral,X,user_retail_739,42
2025-01-07,"Pelayanan petugas kasir di outlet SPBU MT Haryono lambat banget, antrean cenderung mengular.",Negatif,YouTube,user_retail_290,101
2025-01-07,"Fasilitas lengkap, ada colokan di setiap meja dan Wi-Fi cukup kencang untuk meeting online.",Positif,X,user_retail_401,170
2025-01-07,Pelayanan ramah dan tempatnya strategis banget di dalam SPBU.,Positif,X,user_retail_617,23
2025-01-07,"Fasilitas lengkap, ada colokan di setiap meja dan Wi-Fi cukup kencang untuk meeting online.",Positif,Instagram,user_retail_708,43
2025-01-07,"Fasilitas lengkap, ada colokan di setiap meja dan Wi-Fi cukup kencang untuk meeting online.",Positif,YouTube,user_retail_928,34
2025-01-07,Lewat sini pas lagi jam istirahat kantor aja.,Netral,TikTok,user_retail_537,118
2025-01-07,Fasilitas dan kelengkapan produk dinilai standar seperti jaringan retail minimarket pada umumnya.,Netral,YouTube,user_retail_116,260
2025-01-08,"Tempatnya sangat bersih, nyaman, dan adem buat WFC atau numpang kerja pas nunggu Jakarta macet.",Positif,Instagram,user_retail_441,14
2025-01-08,Tempatnya lumayan tapi ya biasa saja sih gak yang wah banget.,Netral,X,user_retail_797,39
2025-01-08,"Suka banget sama menu promo bundling kopi dan roti di pagi hari, sangat ramah di kantong.",Positif,Instagram,user_retail_933,28
2025-01-08,"Bright Cafe kopinya enak banget, rasanya konsisten dan bersaing dengan coffee shop premium.",Positif,YouTube,user_retail_784,10
2025-01-08,Harga beberapa item produk ritel di Bright Store terasa agak kemahalan dibanding minimarket biasa.,Negatif,Instagram,user_retail_507,621
2025-01-08,Pelayanan ramah dan tempatnya strategis banget di dalam SPBU.,Positif,YouTube,user_retail_753,110
2025-01-08,"Tempatnya sangat bersih, nyaman, dan adem buat WFC atau numpang kerja pas nunggu Jakarta macet.",Positif,Instagram,user_retail_884,94
2025-01-08,Bright Store sekarang makin modern pilihan snack impornya juga banyak.,Positif,Instagram,user_retail_762,7
2025-01-08,Ketersediaan produk makanan siap saji sering kali habis kalau berkunjung malam hari.,Negatif,TikTok,user_retail_971,28
2025-01-08,"Metode pembayaran menggunakan aplikasi MyPertamina praktis banget, banyak promo cashback.",Positif,YouTube,user_retail_117,40
2025-01-08,Pelayanan ramah dan tempatnya strategis banget di dalam SPBU.,Positif,YouTube,user_retail_138,17
2025-01-09,"Fasilitas lengkap, ada colokan di setiap meja dan Wi-Fi cukup kencang untuk meeting online.",Positif,X,user_retail_996,154
2025-01-09,AC di area indoor kurang dingin pas kapasitas pengunjung lagi padat-padatnya.,Negatif,X,user_retail_353,152
2025-01-09,"Pilihan menunya standard, harganya ya sewajarnya minimarket pom bensin.",Netral,YouTube,user_retail_317,72
2025-01-09,"Fasilitas lengkap, ada colokan di setiap meja dan Wi-Fi cukup kencang untuk meeting online.",Positif,TikTok,user_retail_193,96
2025-01-09,"Metode pembayaran menggunakan aplikasi MyPertamina praktis banget, banyak promo cashback.",Positif,X,user_retail_185,0
2025-01-09,Lewat sini pas lagi jam istirahat kantor aja.,Netral,Instagram,user_retail_960,27
2025-01-09,"Tempatnya sangat bersih, nyaman, dan adem buat WFC atau numpang kerja pas nunggu Jakarta macet.",Positif,YouTube,user_retail_737,4
2025-01-09,"Pilihan menunya standard, harganya ya sewajarnya minimarket pom bensin.",Netral,YouTube,user_retail_368,174
2025-01-09,Bright Store sekarang makin modern pilihan snack impornya juga banyak.,Positif,Instagram,user_retail_840,10
2025-01-09,Tempatnya lumayan tapi ya biasa saja sih gak yang wah banget.,Netral,X,user_retail_219,15
2025-01-09,Bright Store sekarang makin modern pilihan snack impornya juga banyak.,Positif,X,user_retail_740,9
2025-01-09,"Fasilitas lengkap, ada colokan di setiap meja dan Wi-Fi cukup kencang untuk meeting online.",Positif,YouTube,user_retail_983,26
2025-01-09,AC di area indoor kurang dingin pas kapasitas pengunjung lagi padat-padatnya.,Negatif,YouTube,user_retail_719,253
2025-01-09,"Antrean kasir campur sama yang beli kopi, jadinya lama banget nunggunya.",Negatif,TikTok,user_retail_543,108
2025-01-10,Ketersediaan produk makanan siap saji sering kali habis kalau berkunjung malam hari.,Negatif,X,user_retail_174,534
2025-01-10,Kebetulan mampir cuma buat beli air mineral pas isi bensin.,Netral,YouTube,user_retail_704,93
2025-01-10,Kebetulan mampir cuma buat beli air mineral pas isi bensin.,Netral,X,user_retail_598,48
2025-01-10,Ketersediaan produk makanan siap saji sering kali habis kalau berkunjung malam hari.,Negatif,TikTok,user_retail_655,90
2025-01-10,Harga beberapa item produk ritel di Bright Store terasa agak kemahalan dibanding minimarket biasa.,Negatif,TikTok,user_retail_712,255
2025-01-10,"Tempatnya sangat bersih, nyaman, dan adem buat WFC atau numpang kerja pas nunggu Jakarta macet.",Positif,TikTok,user_retail_716,34
2025-01-10,"Pelayanan petugas kasir di outlet SPBU MT Haryono lambat banget, antrean cenderung mengular.",Negatif,YouTube,user_retail_995,262
2025-01-10,"Proses restock barang lambat, beberapa rak item promo terlihat kosong melompong.",Negatif,YouTube,user_retail_115,28
2025-01-10,Kebetulan mampir cuma buat beli air mineral pas isi bensin.,Netral,TikTok,user_retail_541,34
2025-01-10,Pelayanan ramah dan tempatnya strategis banget di dalam SPBU.,Positif,X,user_retail_199,2
2025-01-10,AC di area indoor kurang dingin pas kapasitas pengunjung lagi padat-padatnya.,Negatif,Instagram,user_retail_774,267
2025-01-11,"Tempat duduknya dikit, sering gak kebagian spot padahal mau ngerjain tugas.",Negatif,YouTube,user_retail_984,34
2025-01-11,"Pilihan menunya standard, harganya ya sewajarnya minimarket pom bensin.",Netral,Instagram,user_retail_834,150
2025-01-11,"Pilihan menunya standard, harganya ya sewajarnya minimarket pom bensin.",Netral,X,user_retail_332,93
2025-01-11,"Pelayanan petugas kasir di outlet SPBU MT Haryono lambat banget, antrean cenderung mengular.",Negatif,Instagram,user_retail_496,574
2025-01-11,Lewat sini pas lagi jam istirahat kantor aja.,Netral,YouTube,user_retail_468,56
2025-01-11,Harga beberapa item produk ritel di Bright Store terasa agak kemahalan dibanding minimarket biasa.,Negatif,X,user_retail_198,143
2025-01-11,"Proses restock barang lambat, beberapa rak item promo terlihat kosong melompong.",Negatif,X,user_retail_775,58
2025-01-11,Harga beberapa item produk ritel di Bright Store terasa agak kemahalan dibanding minimarket biasa.,Negatif,X,user_retail_897,592
2025-01-12,"Antrean kasir campur sama yang beli kopi, jadinya lama banget nunggunya.",Negatif,YouTube,user_retail_756,745
2025-01-12,"Antrean kasir campur sama yang beli kopi, jadinya lama banget nunggunya.",Negatif,Instagram,user_retail_759,41
2025-01-12,"Tempat duduknya dikit, sering gak kebagian spot padahal mau ngerjain tugas.",Negatif,Instagram,user_retail_550,83
2025-01-12,AC di area indoor kurang dingin pas kapasitas pengunjung lagi padat-padatnya.,Negatif,Instagram,user_retail_266,148
2025-01-12,AC di area indoor kurang dingin pas kapasitas pengunjung lagi padat-padatnya.,Negatif,YouTube,user_retail_169,317
2025-01-12,"Fasilitas lengkap, ada colokan di setiap meja dan Wi-Fi cukup kencang untuk meeting online.",Positif,Instagram,user_retail_438,43
2025-01-12,"Bright Cafe kopinya enak banget, rasanya konsisten dan bersaing dengan coffee shop premium.",Positif,TikTok,user_retail_100,57
2025-01-12,"Pelayanan petugas kasir di outlet SPBU MT Haryono lambat banget, antrean cenderung mengular.",Negatif,X,user_retail_329,31
2025-01-12,"Proses restock barang lambat, beberapa rak item promo terlihat kosong melompong.",Negatif,YouTube,user_retail_664,402
2025-01-12,"Proses restock barang lambat, beberapa rak item promo terlihat kosong melompong.",Negatif,X,user_retail_141,924
2025-01-12,Ketersediaan produk makanan siap saji sering kali habis kalau berkunjung malam hari.,Negatif,X,user_retail_894,316
2025-01-12,Kebetulan mampir cuma buat beli air mineral pas isi bensin.,Netral,TikTok,user_retail_687,58
2025-01-12,Ketersediaan produk makanan siap saji sering kali habis kalau berkunjung malam hari.,Negatif,X,user_retail_262,556
2025-01-13,"Proses restock barang lambat, beberapa rak item promo terlihat kosong melompong.",Negatif,TikTok,user_retail_549,31
2025-01-13,Pelayanan ramah dan tempatnya strategis banget di dalam SPBU.,Positif,TikTok,user_retail_352,141
2025-01-13,Lewat sini pas lagi jam istirahat kantor aja.,Netral,YouTube,user_retail_560,57
2025-01-13,"Pilihan menunya standard, harganya ya sewajarnya minimarket pom bensin.",Netral,YouTube,user_retail_601,1
2025-01-13,Ketersediaan produk makanan siap saji sering kali habis kalau berkunjung malam hari.,Negatif,YouTube,user_retail_277,87
2025-01-13,"Pilihan menunya standard, harganya ya sewajarnya minimarket pom bensin.",Netral,X,user_retail_107,9
2025-01-13,"Suka banget sama menu promo bundling kopi dan roti di pagi hari, sangat ramah di kantong.",Positif,Instagram,user_retail_835,2
2025-01-13,AC di area indoor kurang dingin pas kapasitas pengunjung lagi padat-padatnya.,Negatif,TikTok,user_retail_758,880
2025-01-13,"Fasilitas lengkap, ada colokan di setiap meja dan Wi-Fi cukup kencang untuk meeting online.",Positif,YouTube,user_retail_985,129
2025-01-13,Ketersediaan produk makanan siap saji sering kali habis kalau berkunjung malam hari.,Negatif,YouTube,user_retail_784,885
2025-01-13,Fasilitas dan kelengkapan produk dinilai standar seperti jaringan retail minimarket pada umumnya.,Netral,X,user_retail_923,37
2025-01-13,"Antrean kasir campur sama yang beli kopi, jadinya lama banget nunggunya.",Negatif,Instagram,user_retail_358,588
2025-01-13,"Pelayanan petugas kasir di outlet SPBU MT Haryono lambat banget, antrean cenderung mengular.",Negatif,X,user_retail_625,97
2025-01-14,Harga beberapa item produk ritel di Bright Store terasa agak kemahalan dibanding minimarket biasa.,Negatif,TikTok,user_retail_484,13
2025-01-14,"Proses restock barang lambat, beberapa rak item promo terlihat kosong melompong.",Negatif,TikTok,user_retail_664,734
2025-01-14,"Suka banget sama menu promo bundling kopi dan roti di pagi hari, sangat ramah di kantong.",Positif,X,user_retail_808,408
2025-01-14,Tempatnya lumayan tapi ya biasa saja sih gak yang wah banget.,Netral,TikTok,user_retail_788,91
2025-01-14,"Proses restock barang lambat, beberapa rak item promo terlihat kosong melompong.",Negatif,TikTok,user_retail_900,385
2025-01-14,"Tempat duduknya dikit, sering gak kebagian spot padahal mau ngerjain tugas.",Negatif,X,user_retail_878,235
2025-01-15,Tempatnya lumayan tapi ya biasa saja sih gak yang wah banget.,Netral,YouTube,user_retail_982,38
2025-01-15,Ketersediaan produk makanan siap saji sering kali habis kalau berkunjung malam hari.,Negatif,Instagram,user_retail_152,116
2025-01-15,"Pelayanan petugas kasir di outlet SPBU MT Haryono lambat banget, antrean cenderung mengular.",Negatif,Instagram,user_retail_884,84
2025-01-15,Harga beberapa item produk ritel di Bright Store terasa agak kemahalan dibanding minimarket biasa.,Negatif,X,user_retail_232,407
2025-01-15,Fasilitas dan kelengkapan produk dinilai standar seperti jaringan retail minimarket pada umumnya.,Netral,YouTube,user_retail_434,25
2025-01-15,AC di area indoor kurang dingin pas kapasitas pengunjung lagi padat-padatnya.,Negatif,Instagram,user_retail_905,244
2025-01-15,"Tempat duduknya dikit, sering gak kebagian spot padahal mau ngerjain tugas.",Negatif,TikTok,user_retail_534,596
2025-01-15,"Pelayanan petugas kasir di outlet SPBU MT Haryono lambat banget, antrean cenderung mengular.",Negatif,X,user_retail_723,173
2025-01-15,Fasilitas dan kelengkapan produk dinilai standar seperti jaringan retail minimarket pada umumnya.,Netral,Instagram,user_retail_335,41
2025-01-15,Ketersediaan produk makanan siap saji sering kali habis kalau berkunjung malam hari.,Negatif,Instagram,user_retail_217,455
2025-01-15,Ketersediaan produk makanan siap saji sering kali habis kalau berkunjung malam hari.,Negatif,YouTube,user_retail_194,40
2025-01-15,"Proses restock barang lambat, beberapa rak item promo terlihat kosong melompong.",Negatif,YouTube,user_retail_545,536
2025-01-15,Lewat sini pas lagi jam istirahat kantor aja.,Netral,Instagram,user_retail_556,6
2025-01-15,"Proses restock barang lambat, beberapa rak item promo terlihat kosong melompong.",Negatif,X,user_retail_677,418
2025-01-16,Kebetulan mampir cuma buat beli air mineral pas isi bensin.,Netral,X,user_retail_146,49
2025-01-16,"Pilihan menunya standard, harganya ya sewajarnya minimarket pom bensin.",Netral,TikTok,user_retail_177,31
2025-01-16,"Suka banget sama menu promo bundling kopi dan roti di pagi hari, sangat ramah di kantong.",Positif,X,user_retail_107,68
2025-01-16,Pelayanan ramah dan tempatnya strategis banget di dalam SPBU.,Positif,TikTok,user_retail_930,23
2025-01-16,Kebetulan mampir cuma buat beli air mineral pas isi bensin.,Netral,X,user_retail_177,20
2025-01-16,Bright Store sekarang makin modern pilihan snack impornya juga banyak.,Positif,TikTok,user_retail_738,128
2025-01-16,"Fasilitas lengkap, ada colokan di setiap meja dan Wi-Fi cukup kencang untuk meeting online.",Positif,Instagram,user_retail_703,21
2025-01-16,"Proses restock barang lambat, beberapa rak item promo terlihat kosong melompong.",Negatif,YouTube,user_retail_160,63
2025-01-16,"Suka banget sama menu promo bundling kopi dan roti di pagi hari, sangat ramah di kantong.",Positif,YouTube,user_retail_380,113
2025-01-16,Pelayanan ramah dan tempatnya strategis banget di dalam SPBU.,Positif,X,user_retail_744,30
2025-01-16,Bright Store sekarang makin modern pilihan snack impornya juga banyak.,Positif,TikTok,user_retail_473,59
2025-01-17,"Fasilitas lengkap, ada colokan di setiap meja dan Wi-Fi cukup kencang untuk meeting online.",Positif,YouTube,user_retail_322,113
2025-01-17,"Tempat duduknya dikit, sering gak kebagian spot padahal mau ngerjain tugas.",Negatif,X,user_retail_858,23
2025-01-17,"Pilihan menunya standard, harganya ya sewajarnya minimarket pom bensin.",Netral,Instagram,user_retail_942,4
2025-01-17,"Pelayanan petugas kasir di outlet SPBU MT Haryono lambat banget, antrean cenderung mengular.",Negatif,X,user_retail_761,73
2025-01-17,Ketersediaan produk makanan siap saji sering kali habis kalau berkunjung malam hari.,Negatif,TikTok,user_retail_414,1086
2025-01-17,Harga beberapa item produk ritel di Bright Store terasa agak kemahalan dibanding minimarket biasa.,Negatif,Instagram,user_retail_524,112
2025-01-17,Harga beberapa item produk ritel di Bright Store terasa agak kemahalan dibanding minimarket biasa.,Negatif,YouTube,user_retail_946,434
2025-01-17,Harga beberapa item produk ritel di Bright Store terasa agak kemahalan dibanding minimarket biasa.,Negatif,X,user_retail_208,173
2025-01-17,"Pelayanan petugas kasir di outlet SPBU MT Haryono lambat banget, antrean cenderung mengular.",Negatif,X,user_retail_624,235
2025-01-17,"Bright Cafe kopinya enak banget, rasanya konsisten dan bersaing dengan coffee shop premium.",Positif,X,user_retail_330,4
2025-01-17,"Tempat duduknya dikit, sering gak kebagian spot padahal mau ngerjain tugas.",Negatif,YouTube,user_retail_730,128
2025-01-17,"Tempat duduknya dikit, sering gak kebagian spot padahal mau ngerjain tugas.",Negatif,YouTube,user_retail_373,158
2025-01-17,"Metode pembayaran menggunakan aplikasi MyPertamina praktis banget, banyak promo cashback.",Positif,TikTok,user_retail_102,112
2025-01-17,"Antrean kasir campur sama yang beli kopi, jadinya lama banget nunggunya.",Negatif,Instagram,user_retail_722,352
2025-01-18,Pelayanan ramah dan tempatnya strategis banget di dalam SPBU.,Positif,TikTok,user_retail_673,132
2025-01-18,Kebetulan mampir cuma buat beli air mineral pas isi bensin.,Netral,TikTok,user_retail_272,73
2025-01-18,Pelayanan ramah dan tempatnya strategis banget di dalam SPBU.,Positif,YouTube,user_retail_886,11
2025-01-18,"Pilihan menunya standard, harganya ya sewajarnya minimarket pom bensin.",Netral,TikTok,user_retail_100,47
2025-01-18,"Fasilitas lengkap, ada colokan di setiap meja dan Wi-Fi cukup kencang untuk meeting online.",Positif,Instagram,user_retail_238,134
2025-01-19,"Antrean kasir campur sama yang beli kopi, jadinya lama banget nunggunya.",Negatif,YouTube,user_retail_931,390
2025-01-19,Harga beberapa item produk ritel di Bright Store terasa agak kemahalan dibanding minimarket biasa.,Negatif,X,user_retail_687,129
2025-01-19,"Antrean kasir campur sama yang beli kopi, jadinya lama banget nunggunya.",Negatif,YouTube,user_retail_335,141
2025-01-19,"Tempatnya sangat bersih, nyaman, dan adem buat WFC atau numpang kerja pas nunggu Jakarta macet.",Positif,YouTube,user_retail_109,39
2025-01-19,"Fasilitas lengkap, ada colokan di setiap meja dan Wi-Fi cukup kencang untuk meeting online.",Positif,X,user_retail_884,6
2025-01-19,"Tempatnya sangat bersih, nyaman, dan adem buat WFC atau numpang kerja pas nunggu Jakarta macet.",Positif,X,user_retail_267,83
2025-01-19,Pelayanan ramah dan tempatnya strategis banget di dalam SPBU.,Positif,TikTok,user_retail_518,21
2025-01-20,Kebetulan mampir cuma buat beli air mineral pas isi bensin.,Netral,YouTube,user_retail_599,79
2025-01-20,Lewat sini pas lagi jam istirahat kantor aja.,Netral,TikTok,user_retail_914,93
2025-01-20,Pelayanan ramah dan tempatnya strategis banget di dalam SPBU.,Positif,Instagram,user_retail_621,34
2025-01-20,"Pelayanan petugas kasir di outlet SPBU MT Haryono lambat banget, antrean cenderung mengular.",Negatif,X,user_retail_510,350
2025-01-20,"Pilihan menunya standard, harganya ya sewajarnya minimarket pom bensin.",Netral,Instagram,user_retail_330,42
2025-01-20,Tempatnya lumayan tapi ya biasa saja sih gak yang wah banget.,Netral,Instagram,user_retail_745,20
2025-01-20,Bright Store sekarang makin modern pilihan snack impornya juga banyak.,Positif,X,user_retail_747,8
2025-01-20,Bright Store sekarang makin modern pilihan snack impornya juga banyak.,Positif,TikTok,user_retail_764,21
2025-01-20,Pelayanan ramah dan tempatnya strategis banget di dalam SPBU.,Positif,YouTube,user_retail_790,48
2025-01-20,"Tempatnya sangat bersih, nyaman, dan adem buat WFC atau numpang kerja pas nunggu Jakarta macet.",Positif,X,user_retail_501,84
2025-01-20,Harga beberapa item produk ritel di Bright Store terasa agak kemahalan dibanding minimarket biasa.,Negatif,Instagram,user_retail_509,606
2025-01-20,"Pilihan menunya standard, harganya ya sewajarnya minimarket pom bensin.",Netral,Instagram,user_retail_390,8
2025-01-20,"Tempatnya sangat bersih, nyaman, dan adem buat WFC atau numpang kerja pas nunggu Jakarta macet.",Positif,Instagram,user_retail_920,118
2025-01-21,Bright Store sekarang makin modern pilihan snack impornya juga banyak.,Positif,Instagram,user_retail_703,23
2025-01-21,"Pilihan menunya standard, harganya ya sewajarnya minimarket pom bensin.",Netral,YouTube,user_retail_423,78
2025-01-21,Kebetulan mampir cuma buat beli air mineral pas isi bensin.,Netral,X,user_retail_722,64
2025-01-21,"Metode pembayaran menggunakan aplikasi MyPertamina praktis banget, banyak promo cashback.",Positif,X,user_retail_561,136
2025-01-21,"Tempatnya sangat bersih, nyaman, dan adem buat WFC atau numpang kerja pas nunggu Jakarta macet.",Positif,YouTube,user_retail_649,12
2025-01-21,Kebetulan mampir cuma buat beli air mineral pas isi bensin.,Netral,TikTok,user_retail_382,21
2025-01-21,Kebetulan mampir cuma buat beli air mineral pas isi bensin.,Netral,TikTok,user_retail_194,45
2025-01-21,"Tempatnya sangat bersih, nyaman, dan adem buat WFC atau numpang kerja pas nunggu Jakarta macet.",Positif,Instagram,user_retail_462,8
2025-01-22,"Tempatnya sangat bersih, nyaman, dan adem buat WFC atau numpang kerja pas nunggu Jakarta macet.",Positif,X,user_retail_148,9
2025-01-22,"Pelayanan petugas kasir di outlet SPBU MT Haryono lambat banget, antrean cenderung mengular.",Negatif,X,user_retail_162,91
2025-01-22,"Bright Cafe kopinya enak banget, rasanya konsisten dan bersaing dengan coffee shop premium.",Positif,TikTok,user_retail_279,27
2025-01-22,"Metode pembayaran menggunakan aplikasi MyPertamina praktis banget, banyak promo cashback.",Positif,TikTok,user_retail_975,121
2025-01-22,"Tempat duduknya dikit, sering gak kebagian spot padahal mau ngerjain tugas.",Negatif,Instagram,user_retail_574,344
2025-01-22,Bright Store sekarang makin modern pilihan snack impornya juga banyak.,Positif,YouTube,user_retail_636,99
2025-01-22,"Metode pembayaran menggunakan aplikasi MyPertamina praktis banget, banyak promo cashback.",Positif,YouTube,user_retail_760,23
2025-01-22,"Antrean kasir campur sama yang beli kopi, jadinya lama banget nunggunya.",Negatif,TikTok,user_retail_924,110
2025-01-22,"Pelayanan petugas kasir di outlet SPBU MT Haryono lambat banget, antrean cenderung mengular.",Negatif,Instagram,user_retail_712,1057
2025-01-22,Kebetulan mampir cuma buat beli air mineral pas isi bensin.,Netral,YouTube,user_retail_412,0
2025-01-23,Pelayanan ramah dan tempatnya strategis banget di dalam SPBU.,Positif,YouTube,user_retail_212,25
